,SVC,MLP
Title,0.8484999999999999,0.8417499999999999
Image,0.8595,0.8511
Rationale,0.7768499999999999,0.7572499999999999
Title + Image,0.8653000000000001,0.8961499999999999
Title + Rationale,0.8604,0.8503000000000001
Image + Rationale,0.86345,0.8667
Title + Image + Rationale,0.8681500000000002,0.9
